genre,artist_name,track_name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
A Capella,Hyannis Sound,Faithfully,3,0.562,0.48,250840,0.38,0.0,0.0998,-7.015,0.0262,129.88,0.25
A Capella,BYU Noteworthy,Star Wars: A Capella Strikes Back,15,0.703,0.313,241350,0.405,0.00914,0.0957,-7.401,0.0325,95.254,0.291
A Capella,Glad,Blessed Be Your Name,10,0.574,0.706,248080,0.559,0.0,0.0949,-7.662,0.0612,119.976,0.653
A Capella,The Swingle Singers,Walking in the Air,11,0.975,0.353,202227,0.0728,0.000742,0.106,-18.865,0.0337,99.788,0.0858
A Capella,The Singers Unlimited,Anything Goes,4,0.923,0.461,212760,0.154,1.33e-06,0.261,-14.808,0.0399,137.518,0.553
A Capella,The Singers Unlimited,Emily,13,0.98,0.172,239784,0.0695,5.77e-05,0.1,-19.459,0.0324,85.813,0.0611
A Capella,The Singers Unlimited,More I Can Not Wish You,8,0.982,0.272,215104,0.0498,4.88e-05,0.205,-19.338,0.032,83.384,0.178
A Capella,The Singers Unlimited,April in Paris,6,0.974,0.234,190572,0.0932,0.000282,0.114,-17.609,0.0336,123.619,0.0384
A Capella,MC6 A Cappella,Sherry,23,0.36,0.654,150027,0.427,0.0,0.15,-7.963,0.0379,125.39,0.811
A Capella,Glad,All Hail the Power of Jesus' Name,10,0.733,0.487,177640,0.263,0.0,0.233,-9.489,0.0334,143.268,0.557
A Capella,The King's Singers,When I Fall in Love,0,0.965,0.158,252693,0.0638,0.000524,0.0905,-20.253,0.0405,172.256,0.0753
A Capella,The Singers Unlimited,Yesterday,7,0.99,0.157,202567,0.0252,0.0154,0.105,-22.447,0.0392,181.714,0.152
A Capella,The Singers Unlimited,Michelle,15,0.984,0.275,228853,0.043,1.41e-06,0.165,-21.241,0.0323,101.729,0.0395
A Capella,Glad,Just As I Am,6,0.909,0.315,174827,0.0817,0.0,0.18,-14.046,0.0331,137.341,0.319
A Capella,The Singers Unlimited,Someone to Light Up My Life,4,0.948,0.263,203827,0.126,2.26e-06,0.197,-15.022,0.0345,88.848,0.0727
A Capella,Glad,O Wondrous Love,23,0.793,0.349,228147,0.0913,1.61e-06,0.141,-15.003,0.0396,120.405,0.15
A Capella,The Singers Unlimited,Love Is Here to Stay,7,0.967,0.269,201395,0.124,0.0101,0.175,-18.068,0.0333,110.121,0.122
A Capella,Hyannis Sound,Long Train Runnin',4,0.599,0.668,180987,0.769,0.0,0.21,-4.906,0.0865,116.913,0.885
A Capella,The Singers Unlimited,Since You Asked,12,0.985,0.261,177844,0.0658,3.24e-06,0.105,-19.158,0.0348,77.112,0.0662
A Capella,Glad,"Rejoice, The Lord is King",7,0.89,0.58,240667,0.186,0.0,0.159,-14.499,0.026,97.848,0.6
A Capella,Glad,When I Survey the Wondrous Cross,8,0.928,0.301,252400,0.124,0.0,0.118,-15.03,0.029,81.598,0.109
A Capella,MC6 A Cappella,Since You've Been Gone,18,0.846,0.603,99973,0.396,0.0,0.0735,-7.451,0.0665,125.115,0.593
A Capella,The King's Singers,The Little Drummer Boy,10,0.992,0.297,165507,0.018,4.6e-05,0.117,-29.368,0.0384,119.451,0.039
A Capella,The Singers Unlimited,Both Sides Now,13,0.97,0.303,182002,0.118,1.24e-05,0.12,-15.882,0.0539,72.587,0.122
A Capella,The King's Singers,Winter Wonderland,8,0.95,0.532,276667,0.165,1.04e-06,0.114,-14.464,0.0342,118.111,0.184
A Capella,MC6 A Cappella,Runaround Sue,23,0.656,0.705,159120,0.57,0.0,0.0897,-7.124,0.0983,81.977,0.652
A Capella,Glad,"My Jesus, I Love Thee",7,0.947,0.233,211693,0.0567,0.0,0.102,-16.531,0.0295,129.014,0.0491
A Capella,The King's Singers,Cheek to Cheek,0,0.951,0.475,249893,0.0568,1.94e-06,0.0648,-21.219,0.0402,124.653,0.167
A Capella,Glad,Alleluia,4,0.9,0.15,245520,0.165,0.000133,0.114,-14.629,0.0398,74.767,0.213
A Capella,The Singers Unlimited,Nature Boy,15,0.967,0.241,207040,0.117,4.26e-06,0.111,-18.035,0.0306,108.059,0.0676
A Capella,Glad,Receive the Glory,17,0.83,0.384,198400,0.172,0.0,0.195,-9.962,0.0333,122.06,0.174
A Capella,Hyannis Sound,Would You Go With Me,1,0.832,0.62,226933,0.584,3.39e-06,0.111,-8.501,0.0364,123.035,0.635
A Capella,The Singers Unlimited,Sometimes I Feel Like a Motherless Child,4,0.975,0.267,270982,0.046,0.021,0.126,-19.249,0.0334,135.653,0.0583
A Capella,Glad,In Christ Alone,12,0.691,0.39,245213,0.1,0.0,0.074,-11.685,0.0367,112.996,0.28
A Capella,MC6 A Cappella,Teenager in Love,22,0.835,0.583,175000,0.318,0.0,0.118,-8.252,0.0311,75.911,0.51
A Capella,MC6 A Cappella,In the Still of the Night,20,0.715,0.311,189933,0.442,0.0,0.141,-9.487,0.0448,69.001,0.463
A Capella,The Singers Unlimited,"One More Time, Chuck Corea",4,0.905,0.319,202213,0.192,0.336,0.106,-14.226,0.0324,98.857,0.157
A Capella,MC6 A Cappella,The Lion Sleeps Tonight,26,0.302,0.691,183920,0.49,6.5e-06,0.229,-11.222,0.0743,107.066,0.664
A Capella,Glad,Christ the Lord is Risen Today,16,0.822,0.381,222827,0.264,0.0,0.0978,-11.138,0.035,122.419,0.439
A Capella,The Singers Unlimited,Try to Remember,11,0.974,0.213,238536,0.0493,0.000118,0.195,-19.858,0.033,90.729,0.0529
A Capella,Hyannis Sound,Falling Slowly,1,0.929,0.205,261760,0.234,0.0,0.0963,-9.044,0.0296,145.385,0.0653
A Capella,MC6 A Cappella,Blue Moon,23,0.668,0.747,135107,0.505,0.0,0.101,-9.263,0.0746,122.177,0.716
A Capella,The Swingle Singers,Santa Baby,9,0.915,0.72,192400,0.12,0.0,0.0832,-18.935,0.0676,90.103,0.302
A Capella,Hyannis Sound,Walking Away,1,0.79,0.257,252000,0.549,0.0,0.145,-8.254,0.048,172.559,0.418
A Capella,Hyannis Sound,Carolina in My Mind,1,0.894,0.47,224560,0.262,0.0,0.114,-9.466,0.0352,75.431,0.416
A Capella,The Singers Unlimited,I Don't Know Were I Stand,9,0.967,0.176,209233,0.0545,0.00365,0.109,-20.169,0.0345,78.801,0.061
A Capella,Glad,Sing a New Song,6,0.881,0.25,237707,0.33,0.0,0.129,-11.441,0.0285,170.281,0.314
A Capella,The King's Singers,Straighten up and Fly Right,0,0.955,0.669,245787,0.138,0.0,0.195,-18.65,0.0801,129.665,0.327
A Capella,The Singers Unlimited,Like Someone in Love,10,0.939,0.222,214018,0.0457,0.0,0.111,-17.002,0.0293,168.599,0.0702
A Capella,The King's Singers,Jingle Bells,9,0.991,0.572,89947,0.226,1.18e-06,0.139,-22.879,0.0922,79.291,0.683
A Capella,The Singers Unlimited,Lullaby,9,0.98,0.218,94428,0.073,0.000179,0.117,-19.452,0.0328,81.993,0.239
A Capella,The King's Singers,At Last,1,0.954,0.397,150533,0.0855,0.00158,0.101,-19.271,0.0315,96.108,0.146
A Capella,The King's Singers,Santa Claus Is Coming to Town,10,0.878,0.656,174000,0.216,0.0,0.375,-13.451,0.0868,120.282,0.502
A Capella,The King's Singers,Night and Day,1,0.957,0.353,175480,0.0998,0.0,0.0731,-18.014,0.0394,122.185,0.108
A Capella,Glad,You Put This Love in My Heart,7,0.83,0.685,179973,0.44,0.0,0.201,-10.43,0.0304,123.18,0.694
A Capella,The Singers Unlimited,I Wish You Love,8,0.97,0.259,200891,0.134,0.0243,0.187,-17.48,0.0328,133.002,0.191
A Capella,Glad,Crown Him With Many Crowns,6,0.815,0.429,191600,0.167,0.0,0.24,-12.685,0.0324,93.788,0.626
A Capella,Hyannis Sound,Last Goodbye,0,0.569,0.288,281747,0.593,0.0,0.0859,-7.151,0.0504,174.323,0.349
A Capella,The Singers Unlimited,Indian Summer,9,0.983,0.299,176523,0.129,0.000135,0.0995,-18.478,0.0301,37.861,0.0958
A Capella,The Singers Unlimited,Girl Talk,8,0.978,0.41,158904,0.158,0.13,0.111,-15.025,0.0307,81.189,0.148
A Capella,The Singers Unlimited,Killing Me Softly with His Song,14,0.962,0.255,260067,0.14,0.00105,0.17,-14.632,0.0285,89.74,0.154
A Capella,The King's Singers,The Lady Is a Tramp,0,0.901,0.534,220293,0.115,0.0,0.0927,-18.764,0.0708,72.142,0.279
A Capella,The Singers Unlimited,The Way We Were,10,0.974,0.209,188653,0.137,0.256,0.14,-16.809,0.0377,85.845,0.15
A Capella,Glad,God so Loved the World,5,0.834,0.209,249560,0.157,0.0,0.0774,-13.345,0.0385,74.847,0.232
A Capella,Hyannis Sound,Easy,1,0.427,0.548,245960,0.465,0.0,0.123,-7.453,0.0357,128.773,0.332
A Capella,Glad,Be Still My Soul,9,0.784,0.323,233093,0.0872,0.0,0.119,-11.938,0.0323,110.479,0.144
A Capella,The Singers Unlimited,My Romance,13,0.973,0.213,156144,0.0401,0.000461,0.0964,-22.201,0.034,76.003,0.0742
A Capella,The Singers Unlimited,Jeanie With the Light Brown Hair,5,0.989,0.297,156652,0.0427,0.00474,0.23,-20.471,0.0369,110.065,0.131
A Capella,The Singers Unlimited,Clair,33,0.973,0.484,154200,0.222,0.000306,0.104,-14.631,0.044,127.689,0.409
A Capella,Hyannis Sound,A Thousand Miles,7,0.74,0.315,237867,0.506,0.0,0.218,-7.568,0.0369,92.703,0.544
A Capella,MC6 A Cappella,Up On the Roof,17,0.845,0.457,176013,0.252,0.0,0.103,-8.72,0.0265,104.6,0.268
A Capella,MC6 A Cappella,Come Go With Me,25,0.802,0.717,137800,0.518,0.0,0.094,-7.754,0.0883,129.878,0.672
A Capella,The Singers Unlimited,London By Night,16,0.97,0.257,209695,0.0905,4.79e-05,0.293,-17.74,0.0326,91.425,0.136
A Capella,The Singers Unlimited,The Entertainer,4,0.98,0.351,189967,0.0549,7.69e-05,0.127,-15.692,0.0344,132.426,0.0927
A Capella,Hyannis Sound,Somewhere Only We Know,2,0.614,0.473,234627,0.436,0.0,0.0795,-7.625,0.0282,171.931,0.226
A Capella,The King's Singers,White Christmas,8,0.895,0.356,190227,0.204,0.0,0.0781,-15.196,0.04,129.701,0.222
A Capella,Tonic Sol-Fa,Boston to Beijing,0,0.154,0.762,259800,0.652,0.0,0.0369,-7.562,0.0904,106.521,0.966
A Capella,The Singers Unlimited,Sweet Lorraine,7,0.965,0.374,206722,0.16,0.0013,0.381,-14.685,0.0309,106.205,0.186
A Capella,The King's Singers,It's Beginning to Look a Lot Like Christmas,9,0.948,0.398,183387,0.185,0.0,0.119,-15.172,0.0636,82.055,0.383
A Capella,The Singers Unlimited,Since You've Asked,6,0.992,0.28,178653,0.0912,0.000587,0.108,-16.953,0.0341,79.1,0.0797
A Capella,The King's Singers,My Funny Valentine,1,0.968,0.226,204293,0.0499,2.49e-05,0.128,-21.84,0.0364,80.231,0.0888
A Capella,MC6 A Cappella,One Fine Day,18,0.628,0.784,174253,0.702,0.0,0.133,-7.54,0.0834,95.975,0.727
A Capella,The Singers Unlimited,Killing Me Softly With His Song,9,0.965,0.215,259567,0.116,0.00107,0.242,-16.36,0.0311,179.777,0.159
A Capella,The Swingle Singers,Rockin' Around the Christmas Tree,10,0.693,0.609,114507,0.279,5.61e-06,0.179,-14.521,0.0621,160.139,0.819
A Capella,Tonic Sol-Fa,Cecilia,0,0.223,0.757,105787,0.818,0.0,0.102,-5.298,0.0948,128.108,0.964
A Capella,MC6 A Cappella,So Much in Love,19,0.83,0.55,185800,0.272,0.0,0.13,-10.649,0.0262,79.045,0.583
A Capella,Hyannis Sound,Absolutely (Story of a Girl),1,0.575,0.616,164280,0.569,0.0,0.0833,-6.09,0.0583,100.906,0.717
A Capella,The King's Singers,Sleigh Ride,13,0.894,0.735,153947,0.343,0.0,0.124,-12.998,0.0569,102.901,0.87
A Capella,Hyannis Sound,Why Georgia,1,0.582,0.612,268413,0.393,0.0,0.0805,-9.499,0.0284,97.01,0.191
Alternative,Noah Gundersen,Wrong Side,44,0.586,0.513,209847,0.482,0.000147,0.14,-8.681,0.0366,83.369,0.452
Alternative,Wolfmother,Victorious,50,9.06e-05,0.428,264987,0.937,1.17e-05,0.187,-3.713,0.0657,80.02,0.323
Alternative,Childish Major,Happy Birthday (feat. SZA & Isaiah Rashad),49,0.0335,0.741,182692,0.78,0.000283,0.117,-6.779,0.118,117.098,0.623
Alternative,The Roots,The Seed (2.0),61,0.039,0.758,267933,0.957,0.0,0.133,-2.282,0.0357,111.119,0.966
Alternative,Hurt,Rapture,44,0.00641,0.444,340667,0.702,7.75e-06,0.217,-6.799,0.0608,148.096,0.27
Alternative,Lemaitre,Closer,61,0.0012,0.583,270589,0.785,0.0127,0.124,-3.991,0.0337,91.977,0.355
Alternative,Rammstein,Sehnsucht,48,0.0086,0.6,244427,0.954,0.624,0.0775,-5.463,0.0555,140.125,0.665
Alternative,Appleby,Young Lost Love,35,0.945,0.292,239658,0.321,0.389,0.691,-10.84,0.0394,75.959,0.0393
Alternative,Florence + The Machine,Long & Lost,41,0.726,0.384,195082,0.423,1.47e-05,0.119,-11.88,0.0579,82.405,0.294
Alternative,Lecrae,Cry For You,49,0.304,0.642,263467,0.353,0.0,0.0927,-12.384,0.215,89.596,0.276
Alternative,Rage Against The Machine,Bullet In The Head,54,0.00673,0.431,306680,0.855,0.00114,0.639,-4.205,0.15,163.014,0.397
Alternative,Kali Uchis,Rush,48,0.00852,0.74,230593,0.648,0.000589,0.113,-4.986,0.0324,118.007,0.443
Alternative,MISSIO,I See You,60,0.000484,0.461,228736,0.766,5.68e-05,0.0884,-6.875,0.0566,169.957,0.399
Alternative,Moonchild,Cure,40,0.372,0.538,246147,0.296,0.00445,0.361,-13.273,0.0637,85.38,0.172
Alternative,Cake,Love You Madly,53,0.0908,0.752,237827,0.809,9.41e-05,0.169,-8.399,0.0598,106.999,0.658
Alternative,Grizfolk,Bounty On My Head,50,0.000592,0.499,216973,0.821,7.06e-05,0.257,-3.961,0.0413,150.013,0.358
Alternative,Rage Against The Machine,Without a Face,44,0.00534,0.425,216907,0.808,0.179,0.175,-8.376,0.221,92.257,0.369
Alternative,Bombay Bicycle Club,Always Like This,63,0.444,0.579,245640,0.605,0.000645,0.11,-6.686,0.0328,121.793,0.74
Alternative,The Raconteurs,Shine the Light on Me,51,0.109,0.415,207636,0.54,0.00138,0.0817,-9.187,0.0321,98.324,0.148
Alternative,Red Hot Chili Peppers,Detroit,56,0.000277,0.439,226640,0.885,0.00367,0.372,-4.679,0.0625,92.738,0.495
Alternative,Have Mercy,Let's Talk About Your Hair,41,6.67e-05,0.545,235473,0.856,0.0945,0.0933,-5.927,0.0434,129.935,0.359
Alternative,Florence + The Machine,Falling,42,0.791,0.425,212973,0.33,0.202,0.135,-9.038,0.0313,113.201,0.0764
Alternative,Candlebox,Blossom,39,0.00616,0.451,271347,0.608,0.0,0.16,-6.758,0.0284,185.661,0.358
Alternative,Bob Schneider,40 Dogs (Like Romeo and Juliet),34,0.013,0.602,253147,0.68,9.44e-05,0.163,-6.512,0.03,121.981,0.385
Alternative,Skillet,Hero,68,0.00791,0.533,186813,0.967,0.0,0.336,-2.543,0.0995,142.018,0.782
Alternative,anders,Undone,51,0.0771,0.708,216160,0.478,0.0,0.132,-8.467,0.0415,90.996,0.154
Alternative,The Neighbourhood,Afraid,65,0.00892,0.464,251187,0.701,0.309,0.335,-5.693,0.0411,83.996,0.356
Alternative,Jakob Ogawa,You Might Be Sleeping,56,0.719,0.587,147093,0.561,0.342,0.168,-9.249,0.0264,92.602,0.511
Alternative,Apollo Brown,Tao Te Ching,49,0.0452,0.771,131827,0.43,0.845,0.341,-12.096,0.0328,80.032,0.75
Alternative,The Avalanches,Frontier Psychiatrist,45,0.122,0.711,288347,0.905,0.000166,0.395,-7.459,0.218,98.931,0.437
Alternative,Nickelback,I'd Come for You,56,0.033,0.489,262627,0.748,0.0,0.144,-5.488,0.0311,147.998,0.385
Alternative,Solange,Where Do We Go,45,0.0263,0.85,264373,0.351,0.0037,0.0748,-5.536,0.0517,138.045,0.412
Alternative,Ama Lou,Wire,46,0.549,0.612,240000,0.337,0.000168,0.0814,-15.686,0.0752,82.566,0.16
Alternative,Gorillaz,Clint Eastwood,65,0.0249,0.663,340920,0.694,0.0,0.0698,-8.627,0.172,167.964,0.524
Alternative,Col3trane,We Good,45,0.359,0.644,134689,0.453,0.00483,0.136,-9.547,0.0367,75.492,0.538
Alternative,Injury Reserve,Three Man Weave,50,0.0977,0.285,206693,0.875,0.0,0.223,-4.187,0.315,168.151,0.646
Alternative,Majid Jordan,King City,48,0.193,0.55,201467,0.578,0.000104,0.0904,-8.568,0.036,104.495,0.0659
Alternative,Pillar,Frontline,53,0.000291,0.683,190907,0.829,0.00116,0.156,-5.564,0.0528,108.327,0.567
Alternative,Slipknot,Gehenna,46,0.000199,0.491,413027,0.917,0.0303,0.355,-3.278,0.037,99.067,0.295
Alternative,Gorillaz,Idaho,50,0.294,0.419,222200,0.412,0.185,0.15,-11.477,0.0284,136.065,0.164
Alternative,Live,Lakini's Juice,48,5.25e-05,0.401,299267,0.686,0.112,0.0791,-7.012,0.0405,91.456,0.395
Alternative,Run The Jewels,Early,43,0.0195,0.702,224067,0.545,0.0,0.282,-8.491,0.0707,120.008,0.302
Alternative,Alter Bridge,Metalingus,60,9.05e-06,0.497,259960,0.982,0.0,0.0939,-3.272,0.108,109.911,0.183
Alternative,The Bravery,Believe,55,0.00603,0.383,226347,0.953,2.13e-06,0.215,-3.388,0.0551,166.093,0.484
Alternative,The Shins,Phantom Limb,55,0.000585,0.515,287533,0.871,0.0,0.0877,-4.113,0.0367,119.869,0.498
Alternative,Caifanes,Perdí Mi Ojo de Venado,53,0.00296,0.521,271400,0.927,0.0683,0.357,-5.782,0.0505,167.378,0.697
Alternative,Jhene Aiko,Overstimulated,47,0.402,0.425,319533,0.506,0.00419,0.669,-7.652,0.0338,127.967,0.0807
Alternative,The Velvet Underground,I'll Be Your Mirror,50,0.176,0.609,134040,0.295,1.86e-06,0.0859,-14.933,0.0328,108.976,0.279
Alternative,The Smashing Pumpkins,Bullet With Butterfly Wings - Remastered 2012,69,5.59e-05,0.404,258467,0.72,0.836,0.0466,-9.18,0.0626,121.649,0.475
Alternative,Bush,The Chemicals Between Us,46,0.00317,0.512,217493,0.958,0.0403,0.295,-3.979,0.16,97.715,0.39
Alternative,6LACK,Let Her Go,61,0.586,0.758,177172,0.62,7.8e-05,0.187,-7.079,0.0846,156.017,0.404
Alternative,MARINA,Obsessions,45,0.677,0.721,208133,0.616,0.00124,0.0841,-6.795,0.0343,104.955,0.521
Alternative,Phoenix,"Love Like a Sunset, Pt. 2",42,0.627,0.558,116720,0.43,0.308,0.102,-9.33,0.0377,115.913,0.0506
Alternative,for KING & COUNTRY,Run Wild.,47,0.217,0.59,240987,0.837,1.66e-05,0.107,-5.204,0.0921,130.043,0.356
Alternative,Curren$y,The Blow,46,0.293,0.529,151387,0.628,0.0,0.599,-9.687,0.333,71.182,0.717
Alternative,STRFKR,Open Your Eyes,55,0.00549,0.67,232947,0.756,0.599,0.152,-4.299,0.0322,129.988,0.402
Alternative,Pearl Jam,Nothingman - Remastered,54,0.499,0.274,274440,0.387,0.000345,0.108,-10.206,0.0304,96.018,0.15
Alternative,Little Simz,Pressure,46,0.565,0.783,207682,0.619,8.25e-05,0.128,-7.989,0.332,139.964,0.527
Alternative,Breaking Benjamin,Red Cold River,60,0.000248,0.376,200907,0.967,2.64e-06,0.0575,-3.277,0.166,91.582,0.226
Alternative,Filter,Welcome to the Fold,45,2.37e-05,0.503,460400,0.895,0.0354,0.319,-6.228,0.0436,93.953,0.211
Alternative,Breaking Benjamin,Into The Nothing,48,8.72e-05,0.462,223933,0.913,0.0,0.181,-3.55,0.0469,94.998,0.498
Alternative,Kota the Friend,Myrtle,46,0.504,0.678,193643,0.475,0.0,0.184,-8.589,0.304,75.009,0.745
Alternative,Dijon,Drunk,54,0.0687,0.472,191750,0.431,0.0,0.215,-6.593,0.0614,123.799,0.284
Alternative,Remo Drive,Strawberita,44,0.00188,0.55,217879,0.806,0.0028,0.112,-5.381,0.0586,166.065,0.431
Alternative,Papercut Massacre,Lose My Life,49,0.00255,0.521,215093,0.951,0.0,0.226,-6.214,0.0894,115.029,0.351
Alternative,Maldita Vecindad Y Los Hijos Del 5to. Patio,Pachuco,57,0.112,0.649,194200,0.985,0.043,0.214,-8.016,0.0413,107.825,0.496
Alternative,Switchfoot,Your Love Is a Song,47,0.0305,0.519,259987,0.524,0.00012,0.207,-4.082,0.0282,80.013,0.357
Alternative,Foxygen,San Francisco,55,0.245,0.623,227907,0.65,0.000913,0.146,-7.953,0.0274,116.74,0.879
Alternative,DOWN,Stone the Crow,49,0.0139,0.444,282507,0.911,0.00955,0.0868,-6.117,0.0398,106.437,0.556
Alternative,Grizfolk,Waiting For You,50,0.000176,0.588,237853,0.894,0.23,0.141,-5.564,0.0403,123.031,0.552
Alternative,Myles Cameron,Picket Fences,42,0.713,0.442,192134,0.393,1.35e-05,0.0622,-10.48,0.198,160.422,0.261
Alternative,Blood Orange,Benzo,60,0.512,0.739,150512,0.326,0.0515,0.137,-10.376,0.0369,97.354,0.273
Alternative,Hollywood Undead,Believe,50,0.00317,0.582,254360,0.814,2.21e-05,0.209,-6.153,0.0684,170.02,0.331
Alternative,Matt Hammitt,Footprints,49,0.329,0.474,237062,0.525,0.0,0.228,-5.936,0.0318,147.991,0.328
Alternative,My Morning Jacket,Wordless Chorus,51,0.107,0.824,252760,0.377,0.604,0.11,-9.222,0.0436,116.342,0.779
Alternative,Mike Shinoda,Over Again,49,0.0592,0.586,230537,0.766,0.000307,0.126,-7.492,0.0694,145.064,0.126
Alternative,Gojira,The Cell,50,4.75e-06,0.224,197907,0.972,0.14,0.112,-3.988,0.0769,113.354,0.161
Alternative,Shinedown,Amaryllis,46,0.000502,0.398,244320,0.907,0.0,0.109,-3.607,0.0407,166.005,0.347
Alternative,Divinyls,I Touch Myself,57,0.181,0.66,227640,0.711,7.47e-06,0.0647,-10.211,0.0334,109.328,0.726
Alternative,The Offspring,Hammerhead,48,0.00165,0.473,278440,0.957,0.0048,0.0759,-3.574,0.0549,154.43,0.457
Alternative,The Black Keys,Walk Across The Water,68,0.329,0.418,235842,0.583,0.769,0.238,-7.296,0.0257,79.594,0.327
Alternative,Crowder,My Victory,45,0.106,0.46,257213,0.728,0.0,0.119,-4.782,0.0423,147.957,0.419
Alternative,DaniLeigh,Do It To Me,50,0.0879,0.776,187653,0.601,0.000305,0.353,-6.041,0.0487,82.481,0.416
Alternative,Still Woozy,Ipanema,55,0.216,0.751,127044,0.473,0.0774,0.267,-11.458,0.199,147.437,0.868
Alternative,Oliver Tree,Alien Boy,73,0.111,0.803,163525,0.599,0.0,0.236,-5.169,0.0985,130.107,0.484
Alternative,Los Enanitos Verdes,La Muralla Verde,69,0.0653,0.724,161800,0.856,1.85e-06,0.354,-6.119,0.0283,129.794,0.891
Alternative,Incubus,Warning,49,0.00143,0.504,278733,0.522,0.000236,0.0958,-8.297,0.0259,81.047,0.222
Alternative,LCD Soundsystem,Get Innocuous!,45,0.0105,0.696,431520,0.963,0.857,0.0872,-6.625,0.0398,118.01,0.574
Alternative,Throw The Fight,Bury Me Alive,46,0.000126,0.315,226258,0.946,0.0,0.342,-2.679,0.067,154.969,0.426
Alternative,Five Finger Death Punch,Here To Die,40,2.39e-05,0.437,179034,0.992,0.0,0.0837,-3.668,0.236,179.989,0.219
